batch_id,bytes_offset
482,1619875
483,1623132
484,1626830
485,1629977
486,1634242
487,1637792
488,1641565
489,1644685
490,1647785
491,1650928
492,1654641
493,1659163
494,1664723
495,1669801
496,1674630
497,1679211
498,1683018
499,1686578
500,1690772
501,1694371
502,1697909
503,1701710
504,1705413
505,1709355
506,1712475
507,1716667
508,1721010
509,1725619
510,1730069
511,1734276
512,1739239
513,1743933
514,1748042
515,1752626
516,1757117
517,1762135
518,1766157
519,1769567
520,1772798
521,1776182
522,1780022
523,1783483
524,1787121
525,1791066
526,1795345
527,1799228
528,1803419
529,1806532
530,1809882
531,1813696
532,1817414
533,1821324
534,1825238
535,1828882
536,1832284
537,1836263
538,1839632
539,1843293
540,1846840
541,1850226
542,1853452
543,1856901
544,1861066
545,1864792
546,1867931
547,1871969
548,1875615
549,1879752
550,1884028
551,1889239
552,1893785
553,1898358
554,1902045
555,1906001
556,1910068
557,1914392
558,1918361
559,1921853
560,1925695
561,1929913
562,1933471
563,1937524
564,1941755
565,1945376
566,1948620
567,1952077
568,1956323
569,1960628
570,1964937
571,1969213
572,1973674
573,1979733
574,1984915
575,1989143
576,1993128
577,1997359
578,2001682
579,2005683
580,2010943
581,2015494
582,2018799
583,2023461
584,2027283
585,2031055
586,2035662
587,2039607
588,2042763
589,2045663
590,2048624
591,2051889
592,2055021
593,2058618
594,2062122
595,2065530
596,2069668
597,2073047
598,2076410
599,2079811
600,2083264
601,2086593
602,2090172
603,2093875
604,2097244
605,2100922
606,2104652
607,2108264
608,2111646
609,2115047
610,2119005
611,2125154
612,2129822
613,2132965
614,2136302
615,2139595
616,2143359
617,2147824
618,2152706
619,2157338
620,2160910
621,2164693
622,2168142
623,2171282
624,2174577
625,2177824
626,2181029
627,2185133
628,2188631
629,2192691
630,2196419
631,2199832
632,2203348
633,2206662
634,2210141
635,2214198
636,2217733
637,2220843
638,2224069
639,2227441
640,2230611
641,2233777
642,2237182
643,2240958
644,2244961
645,2248723
646,2252990
647,2256078
648,2259252
649,2262560
650,2265979
651,2269725
652,2274139
653,2277830
654,2281297
655,2284810
656,2288251
657,2291947
658,2295645
659,2298931
660,2301945
661,2305664
662,2310410
663,2316674
664,2320783
665,2324740
666,2327988
667,2331280
668,2335512
669,2339111
670,2343845
671,2348931
672,2352723
673,2356451
674,2360682
675,2364871
676,2369538
677,2373621
678,2377907
679,2381961
680,2385744
681,2389493
682,2393365
683,2396644
684,2400199
685,2404258
686,2407820
687,2412050
688,2416486
689,2420738
690,2425006
691,2428903
692,2432683
693,2436675
694,2440711
695,2444437
696,2447992
697,2452140
698,2455478
699,2458728
700,2461936
701,2465795
702,2469963
703,2473295
704,2476376
705,2479483
706,2483686
707,2488059
708,2492226
709,2495960
710,2499703
711,2505071
712,2509850
713,2513950
714,2518498
715,2523246
716,2528548
717,2533856
718,2539517
719,2545295
720,2551102
721,2556947
722,2562776
723,2568915
724,2574389
725,2579934
726,2585833
727,2591379
728,2596311
729,2600858
730,2605709
731,2609570
732,2614101
733,2617584
734,2620897
735,2623796
736,2626711
737,2629794
738,2633062
739,2636208
740,2639220
741,2642288
742,2645194
743,2648329
744,2651276
745,2654457
746,2657785
747,2661542
748,2665612
749,2669776
750,2673113
751,2676739
752,2681041
753,2684814
754,2688012
755,2691014
756,2694654
757,2698485
758,2702204
759,2706107
760,2709419
761,2713173
762,2716702
763,2720892
764,2724686
765,2729284
766,2734726
767,2738920
768,2744798
769,2748946
770,2752347
771,2756607
772,2759807
